INFO 2025-01-07 10:41:20,791 authentication Authenticating request...
DEBUG 2025-01-07 10:41:21,187 autoreload File /usr/local/lib/python3.10/site-packages/cryptography/hazmat/primitives/hashes.py first seen with mtime 1736023389.1559832
DEBUG 2025-01-07 10:41:21,187 autoreload File /usr/local/lib/python3.10/site-packages/cryptography/hazmat/decrepit/ciphers/__init__.py first seen with mtime 1736023389.124119
DEBUG 2025-01-07 10:41:21,187 autoreload File /usr/local/lib/python3.10/site-packages/cryptography/hazmat/primitives/asymmetric/ed25519.py first seen with mtime 1736023389.1559832
DEBUG 2025-01-07 10:41:21,187 autoreload File /usr/local/lib/python3.10/site-packages/cryptography/hazmat/primitives/_asymmetric.py first seen with mtime 1736023389.1559832
DEBUG 2025-01-07 10:41:21,187 autoreload File /usr/local/lib/python3.10/site-packages/jwt/warnings.py first seen with mtime 1736023386.3973675
DEBUG 2025-01-07 10:41:21,187 autoreload File /usr/local/lib/python3.10/site-packages/cryptography/hazmat/primitives/ciphers/__init__.py first seen with mtime 1736023389.1559832
DEBUG 2025-01-07 10:41:21,187 autoreload File /usr/local/lib/python3.10/site-packages/rest_framework_simplejwt/state.py first seen with mtime 1736023389.5489755
DEBUG 2025-01-07 10:41:21,188 autoreload File /usr/local/lib/python3.10/site-packages/cryptography/hazmat/primitives/_serialization.py first seen with mtime 1736023389.1559832
DEBUG 2025-01-07 10:41:21,188 autoreload File /usr/local/lib/python3.10/shlex.py first seen with mtime 1692164431.0
DEBUG 2025-01-07 10:41:21,188 autoreload File /usr/local/lib/python3.10/site-packages/cryptography/hazmat/primitives/asymmetric/dsa.py first seen with mtime 1736023389.1559832
DEBUG 2025-01-07 10:41:21,188 autoreload File /usr/local/lib/python3.10/site-packages/cryptography/hazmat/primitives/asymmetric/rsa.py first seen with mtime 1736023389.1559832
DEBUG 2025-01-07 10:41:21,188 autoreload File /usr/local/lib/python3.10/site-packages/cryptography/hazmat/primitives/asymmetric/padding.py first seen with mtime 1736023389.1559832
DEBUG 2025-01-07 10:41:21,188 autoreload File /usr/local/lib/python3.10/site-packages/cryptography/hazmat/primitives/serialization/__init__.py first seen with mtime 1736023389.1559832
DEBUG 2025-01-07 10:41:21,188 autoreload File /usr/local/lib/python3.10/site-packages/cryptography/hazmat/backends/__init__.py first seen with mtime 1736023389.1559832
DEBUG 2025-01-07 10:41:21,188 autoreload File /usr/local/lib/python3.10/site-packages/cryptography/utils.py first seen with mtime 1736023389.124119
DEBUG 2025-01-07 10:41:21,188 autoreload File /usr/local/lib/python3.10/site-packages/cryptography/hazmat/decrepit/__init__.py first seen with mtime 1736023389.124119
DEBUG 2025-01-07 10:41:21,188 autoreload File /usr/local/lib/python3.10/site-packages/cryptography/hazmat/decrepit/ciphers/algorithms.py first seen with mtime 1736023389.124119
DEBUG 2025-01-07 10:41:21,188 autoreload File /usr/local/lib/python3.10/site-packages/django/contrib/sessions/serializers.py first seen with mtime 1736023388.5189502
DEBUG 2025-01-07 10:41:21,188 autoreload File /usr/local/lib/python3.10/site-packages/jwt/api_jwk.py first seen with mtime 1736023386.3973675
DEBUG 2025-01-07 10:41:21,189 autoreload File /usr/local/lib/python3.10/site-packages/cryptography/hazmat/__init__.py first seen with mtime 1736023389.124119
DEBUG 2025-01-07 10:41:21,189 autoreload File /usr/local/lib/python3.10/site-packages/cryptography/hazmat/primitives/ciphers/modes.py first seen with mtime 1736023389.1559832
DEBUG 2025-01-07 10:41:21,189 autoreload File /usr/local/lib/python3.10/site-packages/cryptography/hazmat/primitives/serialization/base.py first seen with mtime 1736023389.1559832
DEBUG 2025-01-07 10:41:21,189 autoreload File /usr/local/lib/python3.10/site-packages/jwt/jwks_client.py first seen with mtime 1736023386.3973675
DEBUG 2025-01-07 10:41:21,189 autoreload File /usr/local/lib/python3.10/site-packages/cryptography/hazmat/primitives/asymmetric/__init__.py first seen with mtime 1736023389.1559832
DEBUG 2025-01-07 10:41:21,189 autoreload File /usr/local/lib/python3.10/site-packages/cryptography/hazmat/_oid.py first seen with mtime 1736023389.124119
DEBUG 2025-01-07 10:41:21,189 autoreload File /usr/local/lib/python3.10/site-packages/cryptography/hazmat/bindings/_rust.abi3.so first seen with mtime 1736023389.1559832
DEBUG 2025-01-07 10:41:21,189 autoreload File /usr/local/lib/python3.10/site-packages/jwt/__init__.py first seen with mtime 1736023386.3973675
DEBUG 2025-01-07 10:41:21,189 autoreload File /usr/local/lib/python3.10/site-packages/jwt/api_jwt.py first seen with mtime 1736023386.3973675
DEBUG 2025-01-07 10:41:21,189 autoreload File /usr/local/lib/python3.10/site-packages/jwt/utils.py first seen with mtime 1736023386.3973675
DEBUG 2025-01-07 10:41:21,189 autoreload File /usr/local/lib/python3.10/site-packages/jwt/types.py first seen with mtime 1736023386.3973675
DEBUG 2025-01-07 10:41:21,190 autoreload File /usr/local/lib/python3.10/site-packages/django/contrib/messages/storage/fallback.py first seen with mtime 1736023388.4658787
DEBUG 2025-01-07 10:41:21,190 autoreload File /usr/local/lib/python3.10/site-packages/cryptography/hazmat/bindings/__init__.py first seen with mtime 1736023389.124119
DEBUG 2025-01-07 10:41:21,190 autoreload File /usr/local/lib/python3.10/site-packages/cryptography/exceptions.py first seen with mtime 1736023389.124119
DEBUG 2025-01-07 10:41:21,190 autoreload File /usr/local/lib/python3.10/site-packages/cryptography/hazmat/primitives/_cipheralgorithm.py first seen with mtime 1736023389.1559832
DEBUG 2025-01-07 10:41:21,190 autoreload File /usr/local/lib/python3.10/site-packages/django/contrib/messages/storage/session.py first seen with mtime 1736023388.4658787
DEBUG 2025-01-07 10:41:21,190 autoreload File /usr/local/lib/python3.10/site-packages/cryptography/hazmat/primitives/serialization/ssh.py first seen with mtime 1736023389.1559832
DEBUG 2025-01-07 10:41:21,190 autoreload File /usr/local/lib/python3.10/site-packages/cryptography/hazmat/primitives/asymmetric/ed448.py first seen with mtime 1736023389.1559832
DEBUG 2025-01-07 10:41:21,190 autoreload File /usr/local/lib/python3.10/site-packages/jwt/jwk_set_cache.py first seen with mtime 1736023386.3973675
DEBUG 2025-01-07 10:41:21,190 autoreload File /usr/local/lib/python3.10/site-packages/jwt/api_jws.py first seen with mtime 1736023386.3973675
DEBUG 2025-01-07 10:41:21,190 autoreload File /usr/local/lib/python3.10/site-packages/cryptography/hazmat/primitives/asymmetric/ec.py first seen with mtime 1736023389.1559832
DEBUG 2025-01-07 10:41:21,190 autoreload File /usr/local/lib/python3.10/site-packages/django/contrib/messages/storage/cookie.py first seen with mtime 1736023388.4658787
DEBUG 2025-01-07 10:41:21,190 autoreload File /usr/local/lib/python3.10/site-packages/cryptography/hazmat/primitives/asymmetric/utils.py first seen with mtime 1736023389.1559832
DEBUG 2025-01-07 10:45:01,170 connectionpool Starting new HTTP connection (1): user_service:8080
DEBUG 2025-01-07 10:45:01,178 connectionpool http://user_service:8080 "GET /api/user/2/ HTTP/11" 200 None
